_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
252,1464,1464,Laburnum & Finley,,  37.520774, -77.351188,,,0,
253,1465,1465,Laburnum & Gay,,  37.529375, -77.358754,,,0,
254,1467,1467,Laburnum & Glensprings,,  37.540002, -77.367088,,,0,
255,1468,1468,Laburnum & Glensprings,,  37.539839, -77.367336,,,0,
256,147,147,4th & Rowen,,  37.556261, -77.426068,,,0,
257,1470,1470,Laburnum & Jan,,  37.527479, -77.356093,,,0,
258,1472,1472,Laburnum at Laburnum Square,,  37.520199, -77.351602,,,0,
259,1474,1474,Laburnum at Sheraton Hotel,,  37.525523, -77.354622,,,0,
260,1475,1475,Laburnum & Plymouth,,  37.584767, -77.436115,,,0,
261,1476,1476,Laburnum & Seven Hills Blvd,,  37.493619, -77.352430,,,0,
262,1477,1477,Laburnum & Seven Hills Blvd,,  37.492789, -77.353362,,,0,
263,1478,1478,Laburnum & Thornhurst,,  37.537011, -77.365484,,,0,
264,1479,1479,Laburnum & Thornhurst,,  37.537889, -77.365702,,,0,
265,148,148,4th & Spruce,,  37.563146, -77.420607,,,0,
266,1482,1482,Ladies Mile & Cliff,,  37.579492, -77.431552,,,0,
267,1483,1483,Ladies Mile & Hazelhurst,,  37.580147, -77.431087,,,0,
268,149,149,4th & Spruce,,  37.562848, -77.420634,,,0,
269,15,15,16th & Dinwiddie,,  37.512897, -77.441859,,,0,
270,151,151,4th & Trigg,,  37.556891, -77.425302,,,0,
271,152,152,4th & Victor,,  37.566466, -77.418015,,,0,
272,1529,1529,Leigh & 1st,,  37.548012, -77.438542,,,0,
273,153,153,4th & Victor,,  37.566221, -77.418032,,,0,
274,1530,1530,Leigh & 1st,,  37.548286, -77.438636,,,0,
275,154,154,4th & Franklin,,  37.542033, -77.439728,,,0,
276,1557,1557,Libbie & Fitzhugh,,  37.586549, -77.507114,,,0,
277,1558,1558,Libbie & Monument,,  37.583929, -77.509665,,,0,
278,156,156,4th & Jackson,,  37.547530, -77.434328,,,0,
279,1561,1561,Libbie at Convalescent Center,,  37.588849, -77.505100,,,0,
